place_id,name,link_review,URL,latitud,longitud,categoria
ChIJ39mSdH3EFpYRrCfqGgVXFRw,Parque Futangue,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQtNzdyVHNRRRAB!2m1!1s0x0:0x1c1557051aea27ac!3m1!1s2@1:CIHM0ogKEICAgID-77rTsQE%7CCgwI7rjPuQYQsM-4uwM%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQtNzdyVHNRRRAB!2m1!1s0x0:0x1c1557051aea27ac!3m1!1s2@1:CIHM0ogKEICAgID-77rTsQE%7CCgwI7rjPuQYQsM-4uwM%7C?hl=en,-40.3354827,-72.212571,Nature preserve
ChIJSUcaiXjuFZYRgxCvopA340w,Hotel Montepiedra Costanera Valdivia,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQza3Y2WDVBRRAB!2m1!1s0x0:0x4ce33790a2af1083!3m1!1s2@1:CIHM0ogKEICAgID3kv6X5AE%7CCgsIg8DTuQYQoNCgXw%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQza3Y2WDVBRRAB!2m1!1s0x0:0x4ce33790a2af1083!3m1!1s2@1:CIHM0ogKEICAgID3kv6X5AE%7CCgsIg8DTuQYQoNCgXw%7C?hl=en,-39.8121981,-73.2383127,Hotel
ChIJdRDhcEQAFJYRpE1NykjGi-w,Río Fui,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNibFBPX2ZREAE!2m1!1s0x0:0xec8bc648ca4d4da4!3m1!1s2@1:CIHM0ogKEICAgICblPO_fQ%7CCgsIhOf_tAYQkPH0DQ%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNibFBPX2ZREAE!2m1!1s0x0:0xec8bc648ca4d4da4!3m1!1s2@1:CIHM0ogKEICAgICblPO_fQ%7CCgsIhOf_tAYQkPH0DQ%7C?hl=en,-39.8304712,-71.9834898,River
ChIJ07z85NjtFZYRjUN4RDBO7uc,"Restaurante La Calesa, Valdivia",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQzZ09iRlNnEAE!2m1!1s0x0:0xe7ee4e304478438d!3m1!1s2@1:CIHM0ogKEICAgID3gObFSg%7CCgwI2YfFuQYQgNS5sQI%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQzZ09iRlNnEAE!2m1!1s0x0:0xe7ee4e304478438d!3m1!1s2@1:CIHM0ogKEICAgID3gObFSg%7CCgwI2YfFuQYQgNS5sQI%7C?hl=en,-39.8369,-73.23435,Restaurant
ChIJuV3wyfCWFpYRuJhwtcMtooA,Restaurant Y Hostal Donde La Uli,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURYeVpmVzFRRRAB!2m1!1s0x0:0x80a22dc3b57098b8!3m1!1s2@1:CIHM0ogKEICAgIDXyZfW1QE%7CCgwI-dKAuQYQqNXzzAM%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURYeVpmVzFRRRAB!2m1!1s0x0:0x80a22dc3b57098b8!3m1!1s2@1:CIHM0ogKEICAgIDXyZfW1QE%7CCgwI-dKAuQYQqNXzzAM%7C?hl=en,-40.1315549,-72.3845518,Restaurant
ChIJG3ILl4x5FpYR_OcDZkdYpo8,Colún Paillaco Comercial,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNLajhiR3l3RRAB!2m1!1s0x0:0x8fa658476603e7fc!3m1!1s2@1:CIHM0ogKEICAgICKj8bGywE%7CCgsI-dewuQYQyJXQCg%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNLajhiR3l3RRAB!2m1!1s0x0:0x8fa658476603e7fc!3m1!1s2@1:CIHM0ogKEICAgICKj8bGywE%7CCgsI-dewuQYQyJXQCg%7C?hl=en,-40.0706584,-72.8734985,Farmers' market
ChIJ2TTjZ9jtFZYRopHj_xZrKXw,Fogón Sureño,https://www.google.com/maps/contrib/114084177339742258358/place/ChIJ2TTjZ9jtFZYRopHj_xZrKXw,https://www.google.com/maps/contrib/114084177339742258358/place/ChIJ2TTjZ9jtFZYRopHj_xZrKXw,-39.8110078,-73.2435864,Restaurante
ChIJAa0weqz3FZYRdbKqi-yfMk4,Rampa Barcaza Corral A Niebla,https://www.google.com/maps/contrib/116475499998484923923/place/ChIJAa0weqz3FZYRdbKqi-yfMk4,https://www.google.com/maps/contrib/116475499998484923923/place/ChIJAa0weqz3FZYRdbKqi-yfMk4,-39.8824272,-73.4248199,Servicio de transporte
ChIJlx2WtXDuFZYRDRGb9eSCK9I,Costanera Valdivia,https://www.google.com/maps/contrib/109595448962647559027/place/ChIJlx2WtXDuFZYRDRGb9eSCK9I,https://www.google.com/maps/contrib/109595448962647559027/place/ChIJlx2WtXDuFZYRDRGb9eSCK9I,-39.809037,-73.2435409,Parque infantil
ChIJyexd0yO-FZYR_pLsI51Q1eE,Aeródromo Pichoy,https://www.google.com/maps/contrib/117363304518298379098/place/ChIJyexd0yO-FZYR_pLsI51Q1eE,https://www.google.com/maps/contrib/117363304518298379098/place/ChIJyexd0yO-FZYR_pLsI51Q1eE,-39.6509389,-73.0814108,Aeropuerto
ChIJ1Xhb5XXuFZYRp3svMWEo6UU,Carpa de la Ciencia del Centro de Estudios Científicos,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNYN1o3d21BRRAB!2m1!1s0x0:0x45e92861312f7ba7!3m1!1s2@1:CIHM0ogKEICAgICX7Z7wmAE%7CCgwIztXOuAYQ8LzivAE%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNYN1o3d21BRRAB!2m1!1s0x0:0x45e92861312f7ba7!3m1!1s2@1:CIHM0ogKEICAgICX7Z7wmAE%7CCgwIztXOuAYQ8LzivAE%7C?hl=en,-39.813654,-73.2478063,Conference center
ChIJDwNW-YfvFZYR8b1pVih76o0,Mall Paseo Valdivia,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQzOHVqci13RRAB!2m1!1s0x0:0x8dea7b285669bdf1!3m1!1s2@1:CIHM0ogKEICAgID38ujr-wE%7CCgwIzsHUuQYQ8P2ViQE%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQzOHVqci13RRAB!2m1!1s0x0:0x8dea7b285669bdf1!3m1!1s2@1:CIHM0ogKEICAgID38ujr-wE%7CCgwIzsHUuQYQ8P2ViQE%7C?hl=en,-39.814151,-73.2436904,Shopping mall
ChIJjaroQub2FZYRYQ3998KsyiM,Cabañas Fischer SpA,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURYcFozN2V3EAE!2m1!1s0x0:0x23caacc2f7fd0d61!3m1!1s2@1:CIHM0ogKEICAgIDXpZ37ew%7CCgwIw66EuQYQoMnNrAM%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURYcFozN2V3EAE!2m1!1s0x0:0x23caacc2f7fd0d61!3m1!1s2@1:CIHM0ogKEICAgIDXpZ37ew%7CCgwIw66EuQYQoMnNrAM%7C?hl=en,-39.8670488,-73.3988321,Cottage
ChIJ0W2Nnfz_E5YRrK-StZe4lc0,Tronco Viejo,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURYMXRPWnFBRRAB!2m1!1s0x0:0xcd95b897b592afac!3m1!1s2@1:CIHM0ogKEICAgIDX1tOZqAE%7CCgwIw-H2uAYQwN_a_wI%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURYMXRPWnFBRRAB!2m1!1s0x0:0xcd95b897b592afac!3m1!1s2@1:CIHM0ogKEICAgIDX1tOZqAE%7CCgwIw-H2uAYQwN_a_wI%7C?hl=en,-39.846455,-71.9422457,Restaurant
ChIJI-0-1vLEFpYRQA4XAfcfjGo,Futangue Hotel & Spa,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMzd1AtMnhnRRAB!2m1!1s0x0:0x6a8c1ff701170e40!3m1!1s2@1:CIHM0ogKEICAgIC3wP-2xgE%7CCgwIxs-UuQYQiJCI6QI%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMzd1AtMnhnRRAB!2m1!1s0x0:0x6a8c1ff701170e40!3m1!1s2@1:CIHM0ogKEICAgIC3wP-2xgE%7CCgwIxs-UuQYQiJCI6QI%7C?hl=en,-40.3383316,-72.2121748,Hotel
ChIJN6OWNXbuFZYRozoUXQfWgFs,Chocolates y Restaurant Cassis,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMzdm8tMFh3EAE!2m1!1s0x0:0x5b80d6075d143aa3!3m1!1s2@1:CIHM0ogKEICAgIC3vo-0Xw%7CCgwI-IuruQYQ0IbWhQM%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMzdm8tMFh3EAE!2m1!1s0x0:0x5b80d6075d143aa3!3m1!1s2@1:CIHM0ogKEICAgIC3vo-0Xw%7CCgwI-IuruQYQ0IbWhQM%7C?hl=en,-39.8133391,-73.2443562,Restaurant
ChIJqQ8gXXbuFZYR1rYeDxP4mEs,Club de la Union,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURYd0xPVzJRRRAB!2m1!1s0x0:0x4b98f8130f1eb6d6!3m1!1s2@1:CIHM0ogKEICAgIDXwLOW2QE%7CCgwIptnfuAYQ8N7ozAM%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURYd0xPVzJRRRAB!2m1!1s0x0:0x4b98f8130f1eb6d6!3m1!1s2@1:CIHM0ogKEICAgIDXwLOW2QE%7CCgwIptnfuAYQ8N7ozAM%7C?hl=en,-39.8147734,-73.2455204,Social club
ChIJA1zTLhqsFZYRcuip0y9oMc4,"Camping Montecarlo, Lanco",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURkdjkzSlRREAE!2m1!1s0x0:0xce31682fd3a9e872!3m1!1s2@1:CIHM0ogKEICAgIDdv93JTQ%7CCgsIwY3_rgYQuOGfJQ%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURkdjkzSlRREAE!2m1!1s0x0:0xce31682fd3a9e872!3m1!1s2@1:CIHM0ogKEICAgIDdv93JTQ%7CCgsIwY3_rgYQuOGfJQ%7C?hl=en,-39.4386125,-72.7948865,Campground
ChIJl2aLTmS_FpYRN1DEsUZin7c,Puerto Llifén,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMzemJ6Z2xBRRAB!2m1!1s0x0:0xb79f6246b1c45037!3m1!1s2@1:CIHM0ogKEICAgIC3zbzglAE%7CCgsIsLm1uQYQwITfSA%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMzemJ6Z2xBRRAB!2m1!1s0x0:0xb79f6246b1c45037!3m1!1s2@1:CIHM0ogKEICAgIC3zbzglAE%7CCgsIsLm1uQYQwITfSA%7C?hl=en,-40.2140369,-72.268001,Scenic spot
ChIJF_DX8OPRFZYRCRbuAB5L8-s,Hostería y Restorant Pancul,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNubk95UndBRRAB!2m1!1s0x0:0xebf34b1e00ee1609!3m1!1s2@1:CIHM0ogKEICAgICnnOyRwAE%7CCgwIx9jGtwYQgOyluAE%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNubk95UndBRRAB!2m1!1s0x0:0xebf34b1e00ee1609!3m1!1s2@1:CIHM0ogKEICAgICnnOyRwAE%7CCgwIx9jGtwYQgOyluAE%7C?hl=en,-39.8334862,-72.8214283,Restaurant
ChIJjQdhrjBrFpYRsfQP5VVmSCg,Parque Municipal De La Unión,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMzM0txamV3EAE!2m1!1s0x0:0x28486655e50ff4b1!3m1!1s2@1:CIHM0ogKEICAgIC33Kqjew%7CCgwI25mfuQYQ0OPDhwE%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMzM0txamV3EAE!2m1!1s0x0:0x28486655e50ff4b1!3m1!1s2@1:CIHM0ogKEICAgIC33Kqjew%7CCgwI25mfuQYQ0OPDhwE%7C?hl=en,-40.2913983,-73.0760031,Park
